"Edad","2000","2000","2005","2005","2010","2010","2020","2020"
"","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres","Hombres","Mujeres"
"0 a 4 años","5521224","5343102","5324926","5146685","5416078","5244995","5088756","4980470"
"5 a 9 años","5803765","5653203","5492839","5313382","5676636","5510195","5465199","5322602"
"10 a 14 años","5556419","5411403","5705575","5553341","5619343","5458530","5566593","5400760"
"15 a 19 años","5018650","5188578","5139737","5252267","5591496","5573593","5474278","5355925"
"20 a 24 años","4399147","4867051","4375895","4839403","4875438","5141427","5177354","5267408"
"25 a 29 años","3947213","4385940","3915290","4414593","4260358","4638462","4872198","5142528"
"30 a 34 años","3458472","3831510","3853820","4301952","4078087","4499339","4537779","4903524"
"35 a 39 años","3090451","3398703","3468433","3842968","4016002","4381391","4341148","4698734"
"40 a 44 años","2550159","2756423","2954220","3231329","3393641","3703827","4071324","4450743"
"45 a 49 años","2000629","2159060","2456903","2698602","2860883","3142481","3820809","4138867"
"50 a 54 años","1660089","1770114","2016140","2188923","2433514","2694522","3339562","3713262"
"55 a 59 años","1261470","1352820","1541107","1663153","1893710","2050701","2698956","3009379"
"60 a 64 años","1068614","1176804","1279596","1416209","1495760","1659932","2262875","2568660"
"65 a 69 años","796976","899511","949153","1063657","1109435","1236995","1710640","1942356"
"70 a 74 años","602185","670273","723524","815007","885192","1012319","1236231","1416860"
"75 a 79 años","420326","463551","504971","572647","587184","673969","849781","968743"
"80 a 84 años","222155","272110","304883","370475","359871","449106","524975","652940"
"85 años y mas","214309","291002","242941","328842","302602","409523","434932","606873"